,funding_rounds,category_list_clean_Advertising and Marketing,category_list_clean_Agriculture and Food,category_list_clean_Business and Enterprise,category_list_clean_Commerce and Retail,category_list_clean_Communications,category_list_clean_Consumer Products and Lifestyle,category_list_clean_Education and Learning,category_list_clean_Employment and HR,category_list_clean_Energy and Resources,category_list_clean_Environmental Services,category_list_clean_Events,category_list_clean_Farming,category_list_clean_Finance and Investment,category_list_clean_Health and Biotechnology,category_list_clean_Manufacturing and Industry,category_list_clean_Media and Entertainment,category_list_clean_Professional Services,category_list_clean_Public Sector and Government,category_list_clean_Real Estate and Housing,category_list_clean_Security and Safety,category_list_clean_Social and Community,category_list_clean_Technology and Software,category_list_clean_Transportation and Logistics,category_list_clean_Travel and Hospitality,fund_value_log_capped,fund_value_capped,outcome,city_group_encoded,country_group_CAN,country_group_CHN,country_group_DEU,country_group_FRA,country_group_GBR,country_group_IND,country_group_ISR,country_group_Other,country_group_RUS,country_group_USA,company_age,years_since_last_time_funding,years_since_first_time_funding,funding_intensity,time_gap_funding,avg_fund_log_per_round
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.008090292962676573,15.424948670398354,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07500000000000001,0.0,0.0,13.333333333333332,0.0,-0.008090292962676573
20,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.082811047993956,13.122365377402328,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.15789473684210525,0.10909090909090907,6.666666666666666,-0.04880382775119618,-1.082811047993956
23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.32512451869973996,14.74570458948466,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.10526315789473684,0.09090909090909088,16.0,-0.014354066985645952,-0.16256225934986998
31,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6551368871849753,14.038654909278163,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000000000003,0.10526315789473684,0.0727272727272727,19.999999999999993,-0.03253588516746414,-0.32756844359248766
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9001547406651008,17.370858648025116,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.13157894736842107,0.09090909090909088,2.6666666666666665,-0.04066985645933019,0.9001547406651008
34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.15752424183706,10.819798284210286,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.15789473684210525,0.10909090909090907,6.666666666666666,-0.04880382775119618,-2.15752424183706
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.48494141115817513,14.403297778421795,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29499999999999893,0.10526315789473684,0.0727272727272727,3.3898305084745886,-0.03253588516746414,-0.48494141115817513
58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0705743156109431,15.593487160609625,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.18421052631578944,0.12727272727272726,5.0,-0.056937799043062176,0.0705743156109431
64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24222130341858536,15.9612398857419,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07500000000000001,0.0789473684210526,0.054545454545454536,13.333333333333332,-0.024401913875598064,0.24222130341858536
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9257643591017573,13.45883704259595,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0789473684210526,0.054545454545454536,8.0,-0.024401913875598064,-0.9257643591017573
