date,high,low,open,close,volume,jdate
2008-12-06,9249,9168,9249,9178,8539624,1387-09-16
2008-12-07,9178,9130,9178,9130,11752353,1387-09-17
2008-12-08,9103,9080,9103,9089,15299115,1387-09-18
2008-12-10,9072,9024,9072,9024,15689653,1387-09-20
2008-12-13,8973,8973,8973,8973,31428174,1387-09-23
2008-12-14,8964,8907,8964,8907,33424537,1387-09-24
2008-12-15,8904,8891,8902,8891,15030721,1387-09-25
2008-12-16,8891,8866,8891,8869,15206608,1387-09-26
2008-12-20,8862,8854,8862,8857,9680384,1387-09-30
2008-12-21,8861,8852,8857,8852,23942447,1387-10-01
2008-12-22,8841,8832,8840,8832,18510368,1387-10-02
2008-12-23,8830,8803,8829,8803,16750639,1387-10-03
2008-12-24,8802,8792,8796,8796,15493315,1387-10-04
2008-12-27,8796,8785,8785,8787,36809581,1387-10-07
2008-12-28,8770,8758,8770,8758,22322193,1387-10-08
2008-12-29,8752,8726,8750,8727,37152907,1387-10-09
2008-12-30,8717,8690,8717,8695,29866547,1387-10-10
2008-12-31,8694,8654,8694,8656,15827037,1387-10-11
2009-01-03,8656,8637,8656,8642,15850479,1387-10-14
2009-01-04,8629,8619,8627,8620,9364342,1387-10-15
2009-01-05,8616,8596,8612,8596,34895535,1387-10-16
2009-01-10,8593,8576,8593,8576,17954374,1387-10-21
2009-01-11,8574,8542,8574,8542,17591612,1387-10-22
2009-01-12,8536,8518,8536,8519,38577406,1387-10-23
2009-01-13,8521,8461,8519,8464,21786228,1387-10-24
2009-01-14,8471,8453,8471,8457,27901910,1387-10-25
2009-01-17,8458,8450,8455,8458,41437444,1387-10-28
2009-01-18,8462,8449,8449,8460,41438920,1387-10-29
2009-01-19,8471,8451,8451,8467,50872473,1387-10-30
2009-01-20,8521,8469,8469,8497,18145974,1387-11-01
2009-01-21,8520,8495,8495,8514,18216417,1387-11-02
2009-01-24,8564,8514,8514,8554,104929276,1387-11-05
2009-01-25,8550,8518,8547,8519,30934413,1387-11-06
2009-01-26,8517,8506,8517,8507,24238918,1387-11-07
2009-01-27,8510,8505,8506,8509,30858309,1387-11-08
2009-01-28,8516,8496,8516,8506,24122310,1387-11-09
2009-01-31,8509,8502,8507,8508,19555340,1387-11-12
2009-02-01,8518,8487,8511,8492,45910132,1387-11-13
2009-02-02,8502,8493,8502,8496,23994605,1387-11-14
2009-02-03,8497,8481,8496,8483,19609854,1387-11-15
2009-02-04,8485,8462,8484,8466,30228102,1387-11-16
2009-02-07,8468,8444,8466,8451,24161523,1387-11-19
2009-02-08,8453,8438,8453,8438,25955001,1387-11-20
2009-02-09,8440,8424,8440,8424,20913900,1387-11-21
2009-02-11,8434,8424,8424,8430,12368889,1387-11-23
2009-02-14,8433,8420,8430,8420,14432290,1387-11-26
2009-02-15,8423,8413,8420,8413,16758928,1387-11-27
2009-02-17,8413,8390,8413,8390,25790685,1387-11-29
2009-02-18,8390,8377,8390,8377,12942983,1387-11-30
2009-02-21,8376,8356,8376,8356,351708793,1387-12-03
2009-02-22,8354,8291,8351,8297,45390914,1387-12-04
